nm_grande_area_conhecimento,nm_area_avaliacao,g_orientador,total_o,frequencia_o,g_discente,total_d,frequencia_d
Ciências Agrárias,Ciência De Alimentos,Female,7020,52.91,Female,10184,76.76
Ciências Agrárias,Ciências Agrárias I,Female,13485,22.8,Female,28806,48.7
Ciências Agrárias,Medicina Veterinária,Female,7561,36.61,Female,12901,62.47
Ciências Agrárias,Zootecnia / Recursos Pesqueiros,Female,4719,27.1,Female,8891,51.07
Ciências Biológicas,Biodiversidade,Female,11546,38.18,Female,17849,59.02
Ciências Biológicas,Ciências Biológicas I,Female,9188,49.89,Female,12054,65.45
Ciências Biológicas,Ciências Biológicas II,Female,11546,46.84,Female,15823,64.19
Ciências Biológicas,Ciências Biológicas III,Female,5088,51.9,Female,6918,70.56
Ciências Da Saúde,Educação Física,Female,8001,47.88,Female,10248,61.33
Ciências Da Saúde,Enfermagem,Female,17393,89.95,Female,17140,88.64
Ciências Da Saúde,Farmácia,Female,7377,56.81,Female,9444,72.73
Ciências Da Saúde,Medicina I,Female,16482,36.32,Female,27933,61.55
Ciências Da Saúde,Medicina II,Female,8534,48.18,Female,12348,69.71
Ciências Da Saúde,Medicina III,Female,2008,25.8,Female,3573,45.91
Ciências Da Saúde,Nutrição,Female,3784,75.62,Female,4406,88.05
Ciências Da Saúde,Odontologia,Female,12494,40.61,Female,18176,59.08
Ciências Da Saúde,Saúde Coletiva,Female,13035,58.56,Female,16817,75.55
Ciências Exatas E Da Terra,Astronomia / Física,Female,2290,13.59,Female,3834,22.75
Ciências Exatas E Da Terra,Biodiversidade,Female,645,37.5,Female,996,57.91
Ciências Exatas E Da Terra,Ciência Da Computação,Female,6006,23.76,Female,5276,20.87
Ciências Exatas E Da Terra,Geociências,Female,3093,22.36,Female,5858,42.34
Ciências Exatas E Da Terra,Matemática e Estatística,Female,3537,21.48,Female,4696,28.52
Ciências Exatas E Da Terra,Química,Female,8779,33.29,Female,13771,52.22
Ciências Humanas,Antropologia,Female,3126,50.03,Female,3665,58.66
Ciências Humanas,Ciência Política/RI,Female,2445,30.67,Female,3620,45.41
Ciências Humanas,Educação,Female,47119,65.69,Female,52270,72.87
Ciências Humanas,Filosofia,Female,2006,19.77,Female,2968,29.26
Ciências Humanas,Geografia,Female,6396,40.33,Female,7701,48.56
Ciências Humanas,História,Female,10953,48.06,Female,11258,49.4
Ciências Humanas,Psicologia,Female,18496,63.45,Female,21913,75.17
Ciências Humanas,Sociologia,Female,8184,48.71,Female,9017,53.66
Ciências Humanas,Teologia,Female,1055,18.94,Female,2065,37.07
Ciências Sociais Aplicadas,"Administração, Ciências Contábeis E Turismo",Female,14049,30.63,Female,20179,43.99
Ciências Sociais Aplicadas,Arquitetura E Urbanismo,Female,2266,45.87,Female,2963,59.98
Ciências Sociais Aplicadas,"Arquitetura, Urbanismo E Design",Female,4311,50.66,Female,5248,61.68
Ciências Sociais Aplicadas,Ciências Sociais Aplicadas I,Female,4308,51.99,Female,4993,60.25
Ciências Sociais Aplicadas,Comunicação E Informação,Female,5857,52.48,Female,6666,59.73
Ciências Sociais Aplicadas,Direito,Female,10960,25.68,Female,18362,43.02
Ciências Sociais Aplicadas,Economia,Female,2796,16.23,Female,5479,31.81
Ciências Sociais Aplicadas,Planejamento Urbano E Regional / Demografia,Female,2877,41.71,Female,3941,57.13
Ciências Sociais Aplicadas,Serviço Social,Female,6647,81.15,Female,6759,82.52
Engenharias,Engenharias I,Female,7247,23.48,Female,13534,43.85
Engenharias,Engenharias II,Female,8970,30.65,Female,13336,45.56
Engenharias,Engenharias III,Female,5577,13.83,Female,11212,27.8
Engenharias,Engenharias IV,Female,3355,11.07,Female,6120,20.19
"Lingüística, Letras E Artes",Artes,Female,2777,52.08,Female,2715,50.92
"Lingüística, Letras E Artes",Artes / Música,Female,4450,52.59,Female,4595,54.31
"Lingüística, Letras E Artes",Linguística E Literatura,Female,35756,65.54,Female,38845,71.21
Multidisciplinar,Biotecnologia,Female,4003,46.77,Female,5589,65.3
Multidisciplinar,Ciências Ambientais,Female,5779,41.55,Female,8030,57.73
Multidisciplinar,Ensino,Female,12610,57.06,Female,13943,63.1
Multidisciplinar,Interdisciplinar,Female,26557,46.24,Female,33620,58.54
Multidisciplinar,Materiais,Female,1145,24.1,Female,2035,42.83
