nm_area_avaliacao,an_base,g_discente,total,frequencia,variacao
Astronomia / Física,1991,Female,54,24.88,-1.61
Astronomia / Física,1991,Male,163,75.12,-1.61
Astronomia / Física,1992,Female,46,24.21,-1.61
Astronomia / Física,1992,Male,144,75.79,-1.61
Astronomia / Física,1993,Female,52,19.19,-1.61
Astronomia / Física,1993,Male,219,80.81,-1.61
Astronomia / Física,1994,Female,51,21.34,-1.61
Astronomia / Física,1994,Male,188,78.66,-1.61
Astronomia / Física,1995,Female,64,24.81,-1.61
Astronomia / Física,1995,Male,194,75.19,-1.61
Astronomia / Física,1996,Female,62,23.4,-1.61
Astronomia / Física,1996,Male,203,76.6,-1.61
Astronomia / Física,1997,Female,58,21.09,-1.61
Astronomia / Física,1997,Male,217,78.91,-1.61
Astronomia / Física,1998,Female,52,18.71,-1.61
Astronomia / Física,1998,Male,226,81.29,-1.61
Astronomia / Física,1999,Female,59,21.93,-1.61
Astronomia / Física,1999,Male,210,78.07,-1.61
Astronomia / Física,2000,Female,72,24.24,-1.61
Astronomia / Física,2000,Male,225,75.76,-1.61
Astronomia / Física,2001,Female,66,24.35,-1.61
Astronomia / Física,2001,Male,205,75.65,-1.61
Astronomia / Física,2002,Female,74,22.16,-1.61
Astronomia / Física,2002,Male,260,77.84,-1.61
Astronomia / Física,2003,Female,86,22.93,-1.61
Astronomia / Física,2003,Male,289,77.07,-1.61
Astronomia / Física,2004,Female,80,22.16,-1.61
Astronomia / Física,2004,Male,281,77.84,-1.61
Astronomia / Física,2005,Female,80,20.2,-1.61
Astronomia / Física,2005,Male,316,79.8,-1.61
Astronomia / Física,2006,Female,87,20.76,-1.61
Astronomia / Física,2006,Male,332,79.24,-1.61
Astronomia / Física,2007,Female,100,24.88,-1.61
Astronomia / Física,2007,Male,302,75.12,-1.61
Astronomia / Física,2008,Female,119,26.92,-1.61
Astronomia / Física,2008,Male,323,73.08,-1.61
Astronomia / Física,2009,Female,106,20.74,-1.61
Astronomia / Física,2009,Male,405,79.26,-1.61
Astronomia / Física,2010,Female,106,20.23,-1.61
Astronomia / Física,2010,Male,418,79.77,-1.61
Astronomia / Física,2011,Female,112,20.11,-1.61
Astronomia / Física,2011,Male,445,79.89,-1.61
Astronomia / Física,2012,Female,127,21.1,-1.61
Astronomia / Física,2012,Male,475,78.9,-1.61
Astronomia / Física,2013,Female,200,23.67,-1.61
Astronomia / Física,2013,Male,645,76.33,-1.61
Astronomia / Física,2014,Female,191,24.03,-1.61
Astronomia / Física,2014,Male,604,75.97,-1.61
Astronomia / Física,2015,Female,238,23.9,-1.61
Astronomia / Física,2015,Male,758,76.1,-1.61
Astronomia / Física,2016,Female,227,21.56,-1.61
Astronomia / Física,2016,Male,826,78.44,-1.61
Astronomia / Física,2017,Female,242,23.2,-1.61
Astronomia / Física,2017,Male,801,76.8,-1.61
Astronomia / Física,2018,Female,260,23.15,-1.61
Astronomia / Física,2018,Male,863,76.85,-1.61
Astronomia / Física,2019,Female,258,21.88,-1.61
Astronomia / Física,2019,Male,921,78.12,-1.61
Astronomia / Física,2020,Female,259,24.41,-1.61
Astronomia / Física,2020,Male,802,75.59,-1.61
Astronomia / Física,2021,Female,246,24.48,-1.61
