an_base,total_od_FF,total_od_FM,total_od_MF,total_od_MM,frequencia_od_FF,frequencia_od_FM,frequencia_od_MF,frequencia_od_MM
1991,5,3,20,40,7.35,4.41,29.41,58.82
1992,8,7,21,47,9.64,8.43,25.3,56.63
1993,5,7,28,55,5.26,7.37,29.47,57.89
1994,6,7,24,73,5.45,6.36,21.82,66.36
1995,7,8,34,55,6.73,7.69,32.69,52.88
1996,10,13,41,93,6.37,8.28,26.11,59.24
1997,12,17,38,98,7.27,10.3,23.03,59.39
1998,13,29,40,107,6.88,15.34,21.16,56.61
1999,13,32,48,104,6.6,16.24,24.37,52.79
2000,24,31,53,144,9.52,12.3,21.03,57.14
2001,12,35,60,120,5.29,15.42,26.43,52.86
2002,18,38,65,158,6.45,13.62,23.3,56.63
2003,26,49,69,172,8.23,15.51,21.84,54.43
2004,17,41,71,171,5.67,13.67,23.67,57
2005,19,47,79,197,5.56,13.74,23.1,57.6
2006,26,31,75,210,7.6,9.06,21.93,61.4
2007,28,41,87,224,7.37,10.79,22.89,58.95
2008,27,47,76,221,7.28,12.67,20.49,59.57
2009,33,58,76,222,8.48,14.91,19.54,57.07
2010,24,73,103,280,5,15.21,21.46,58.33
2011,38,50,120,305,7.41,9.75,23.39,59.45
2012,36,69,124,314,6.63,12.71,22.84,57.83
2013,27,84,135,337,4.63,14.41,23.16,57.8
2014,39,61,160,336,6.54,10.23,26.85,56.38
2015,34,92,137,385,5.25,14.2,21.14,59.41
2016,42,71,118,342,7.33,12.39,20.59,59.69
2017,49,119,145,429,6.6,16.04,19.54,57.82
2018,42,86,141,407,6.21,12.72,20.86,60.21
2019,61,109,184,512,7.04,12.59,21.25,59.12
2020,47,88,126,365,7.51,14.06,20.13,58.31
2021,55,107,147,424,7.5,14.6,20.05,57.84
