nm_entidade_ensino,total,frequencia,total_g_orientador_Female,total_g_orientador_Male,frequencia_g_orientador_Female,frequencia_g_orientador_Male,total_g_discente_Female,total_g_discente_Male,frequencia_g_discente_Female,frequencia_g_discente_Male,total_g_oridis_FF,total_g_oridis_FM,total_g_oridis_MF,total_g_oridis_MM,frequencia_g_oridis_FF,frequencia_g_oridis_FM,frequencia_g_oridis_MF,frequencia_g_oridis_MM
universidade de sao paulo,1169,9.79,262,907,22.41,77.59,352,817,30.11,69.89,83,179,269,638,7.1,15.31,23.01,54.58
universidade federal do rio de janeiro,839,7.02,182,657,21.69,78.31,240,599,28.61,71.39,55,127,185,472,6.56,15.14,22.05,56.26
universidade estadual de campinas,677,5.67,90,587,13.29,86.71,162,515,23.93,76.07,25,65,137,450,3.69,9.6,20.24,66.47
pontificia universidade catolica do rio grande do sul,623,5.22,NA,623,NA,100,129,494,20.71,79.29,NA,NA,129,494,NA,NA,20.71,79.29
universidade federal de minas gerais,610,5.11,173,437,28.36,71.64,196,414,32.13,67.87,54,119,142,295,8.85,19.51,23.28,48.36
pontificia universidade catolica de sao paulo,582,4.87,219,363,37.63,62.37,165,417,28.35,71.65,85,134,80,283,14.6,23.02,13.75,48.63
universidade federal da paraiba,449,3.76,25,424,5.57,94.43,119,330,26.5,73.5,5,20,114,310,1.11,4.45,25.39,69.04
pontificia universidade catolica do rio de janeiro,443,3.71,120,323,27.09,72.91,172,271,38.83,61.17,56,64,116,207,12.64,14.45,26.19,46.73
universidade federal de santa catarina,399,3.34,53,346,13.28,86.72,124,275,31.08,68.92,20,33,104,242,5.01,8.27,26.07,60.65
universidade do estado do rio de janeiro,386,3.23,171,215,44.3,55.7,123,263,31.87,68.13,59,112,64,151,15.28,29.02,16.58,39.12
universidade federal do ceara,345,2.89,30,315,8.7,91.3,76,269,22.03,77.97,6,24,70,245,1.74,6.96,20.29,71.01
universidade federal de sao carlos,301,2.52,94,207,31.23,68.77,97,204,32.23,67.77,28,66,69,138,9.3,21.93,22.92,45.85
universidade federal do rio grande do sul,281,2.35,38,243,13.52,86.48,73,208,25.98,74.02,16,22,57,186,5.69,7.83,20.28,66.19
universidade federal do parana,270,2.26,41,229,15.19,84.81,70,200,25.93,74.07,10,31,60,169,3.7,11.48,22.22,62.59
universidade federal de santa maria,267,2.24,35,232,13.11,86.89,82,185,30.71,69.29,14,21,68,164,5.24,7.87,25.47,61.42
